Database Name,URL,Script File,Status,Timestamp
BIS Standard,https://standards.bsbedge.com/dashboard,BIS Standard.py,Running,27/05/2025 16:17
ACM Digital Library,https://dl.acm.org/,ACM Digital Library.py,Running,27/05/2025 16:17
ACE Equity V2,https://www.acekp.in/HomePage.aspx,ACE Equity V2.py,Running,27/05/2025 16:17
ARTSTOR,https://www.jstor.org/,ARTSTOR.py,Running,27/05/2025 16:17
American Institute of Physics (AIP),https://pubs.aip.org/aip,American Institute of Physics (AIP).py,Running,27/05/2025 16:17
ACS Publications,https://pubs.acs.org/journal/accacs,ACS Publications.py,Running,27/05/2025 16:17
Economic Outlook,https://economicoutlook.cmie.com/,Economic Outlook.py,Running,27/05/2025 16:17
Cambridge Uni.Press (15 Jo.) ,https://www.cambridge.org/core/publications/journals#,camb_Uni_Press.py,Running,27/05/2025 16:17
EBSCO Business Source Ultimate,https://research.ebsco.com/c/el46ki/search,EBSCO Business Source Ultimate.py,Running,27/05/2025 16:17
EPWRF,https://epwrfits.in/,EPWRF.py,Running,27/05/2025 16:17
IEEE Xplore Digital Library,https://ieeexplore.ieee.org/Xplore/home.jsp,IEEE Xplore Digital Library.py,Running,27/05/2025 16:18
Industry Outlook,https://industryoutlook.cmie.com/,Industry Outlook.py,Running,27/05/2025 16:18
JSTOR,https://www.jstor.org/,JSTOR.py,Running,27/05/2025 16:18
Prime Infobase,https://www.primeinfobase.com/myaccount.aspx,Prime Infobase.py,Running,27/05/2025 16:18
MathScinet,https://mathscinet.ams.org/mathscinet/publications-search,MathScinet.py,Running,27/05/2025 16:18
ProQuest E-Books Central,https://ebookcentral.proquest.com/lib/ahduniin/home.action,ProQuest E-Books Central.py,Running,27/05/2025 16:18
Sage Journals collection ,https://journals.sagepub.com/home,Sage Journals collection.py,Running,27/05/2025 16:18
Science Direct,https://www.sciencedirect.com/,Science Direct.py,Running,27/05/2025 16:18
States of India,https://statesofindia.cmie.com/,States of India.py,Running,27/05/2025 16:19
Venture Intelligence PE/VC,https://www.ventureintelligence.com/dashboard,Venture Intelligence.py,Running,27/05/2025 16:19
Scopus,https://www.scopus.com/search/form.uri?display=basic#basic,Scopus.py,Running,27/05/2025 16:19
Wiley Management Journals Collection,https://onlinelibrary.wiley.com/,Wiley Management Journals Collection.py,Running,27/05/2025 16:19
Wiley Online Books,https://onlinelibrary.wiley.com/,Wiley Online Books.py,Running,27/05/2025 16:19
Ethics : an International Journal of Social Political and Legal Philosophy,https://www.journals.uchicago.edu/loi/et,ethics.py,Running,27/05/2025 16:19
Psychological Studies (Electronic),https://link.springer.com/journal/12646/volumes-and-issues,Psychological Studies.py,Running,27/05/2025 16:19
Press reader ,https://www.pressreader.com/,Press reader.py,Not Running,27/05/2025 16:19
Heritage and Society,https://www.tandfonline.com/loi/yhso20,Heritage and Society.py,Running,27/05/2025 16:20
Health Promotion International,https://www.jstor.org/journal/,Health Promotion International.py,Running,27/05/2025 16:20
International Journal of Number Theory,https://www.worldscientific.com/worldscinet/ijnt?srsltid=AfmBOopRYimEuwWCgVrwQBM0YAp5MhM3-ZC7QPyiarr9GcDOlr-bYUU_,International Journal of Number Theory.py,Running,27/05/2025 16:20
International Journal of Heritage and Studies,https://www.tandfonline.com/loi/rjhs20,International Journal of Heritage and Studies.py,Running,27/05/2025 16:20
Journal of Financial and Quantitative Analysis,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/all-issues,Journal of Financial and Quantitative Analysis.py,Running,27/05/2025 16:20
The Review of Economic Studies,https://www.jstor.org/,The Review of Economic Studies.py,Running,27/05/2025 16:20
Journal of the Academy of Marketing Science,https://link.springer.com/journal/11747/volumes-and-issues,Journal of the Academy of Marketing Science.py,Running,27/05/2025 16:20
Review of Accounting Studies,https://link.springer.com/journal/11142/volumes-and-issues,Review of Accounting Studies.py,Running,27/05/2025 16:20
Journal of International Business Studies,https://www.jstor.org/,Journal of International Business Studies.py,Running,27/05/2025 16:20
Journal of Business Venturing,https://www.sciencedirect.com/journal/journal-of-business-venturing,Journal of Business Venturing.py,Running,27/05/2025 16:21
Annals of Statistics  ,https://projecteuclid.org/journals/annals-of-statistics/issues,Annals of Statistics.py,Running,27/05/2025 16:21
Springer LNCS (5296 books),https://link.springer.com/book/10.1007/978-3-030-44830-1,Springer LNCS.py,Running,27/05/2025 16:21
Oxford University Press,https://academic.oup.com/,Oxford University Press.py,Running,27/05/2025 16:21
Project Muse,https://muse.jhu.edu/,Project Muse.py,Not Running,27/05/2025 16:22
